timestamp,humedad_suelo,temperatura,luminosidad,ph,tanque_agua,riego_activo
2026-08-22 20:44:26,47.2,22.9,671,6.42,85.0,NO
2026-08-22 20:44:27,47.0,22.8,668,6.41,85.0,NO
2026-08-22 20:44:28,46.8,22.9,678,6.41,85.0,NO
2026-08-22 20:44:29,46.5,22.9,685,6.4,85.0,NO
2026-08-22 20:44:30,46.2,22.9,689,6.39,85.0,NO
2026-08-22 20:44:31,46.0,23.0,701,6.39,85.0,NO
2026-08-22 20:44:32,45.8,22.8,698,6.4,85.0,NO
2026-08-22 20:44:33,45.5,22.7,701,6.4,85.0,NO
2026-08-22 20:44:34,45.2,22.5,703,6.42,85.0,NO
2026-08-22 20:44:35,45.0,22.5,701,6.43,85.0,NO
2026-08-22 20:44:36,44.8,22.6,708,6.42,85.0,NO
2026-08-22 20:44:37,44.5,22.8,707,6.4,85.0,NO
2026-08-22 20:44:38,44.2,22.6,713,6.41,85.0,NO
2026-08-22 20:44:39,44.0,22.6,719,6.42,85.0,NO
2026-08-22 20:44:40,43.8,22.7,706,6.43,85.0,NO
2026-08-22 20:44:41,43.5,22.7,716,6.43,85.0,NO
2026-08-22 20:44:42,43.2,22.5,729,6.41,85.0,NO
2026-08-22 20:44:43,43.0,22.7,724,6.42,85.0,NO
2026-08-22 20:44:44,42.8,22.8,736,6.41,85.0,NO
2026-08-22 20:44:45,42.5,22.7,724,6.42,85.0,NO
2026-08-22 20:44:46,42.2,22.8,710,6.41,85.0,NO
2026-08-22 20:44:47,42.0,23.0,704,6.39,85.0,NO
2026-08-22 20:44:48,41.8,23.1,718,6.38,85.0,NO
2026-08-22 20:44:49,41.5,23.2,714,6.39,85.0,NO
2026-08-22 20:44:50,41.2,23.3,714,6.38,85.0,NO
2026-08-22 20:44:51,41.0,23.5,710,6.38,85.0,NO
2026-08-22 20:44:52,40.8,23.3,724,6.37,85.0,NO
2026-08-22 20:44:53,40.5,23.3,730,6.37,85.0,NO
2026-08-22 20:44:54,40.2,23.5,727,6.37,85.0,NO
2026-08-22 20:44:55,40.0,23.6,733,6.37,85.0,NO
2026-08-22 20:44:56,39.8,23.5,726,6.39,85.0,NO
2026-08-22 20:44:57,39.5,23.4,737,6.4,85.0,NO
2026-08-22 20:44:58,39.2,23.3,724,6.38,85.0,NO
2026-08-22 20:44:59,39.0,23.3,713,6.4,85.0,NO
2026-08-22 20:45:00,38.8,23.5,726,6.39,85.0,NO
2026-08-22 20:45:01,38.5,23.3,734,6.37,85.0,NO
2026-08-22 20:45:02,38.2,23.3,724,6.36,85.0,NO
2026-08-22 20:45:03,38.0,23.2,732,6.37,85.0,NO
2026-08-22 20:45:04,37.8,23.2,718,6.36,85.0,NO
2026-08-22 20:45:05,37.5,23.3,726,6.37,85.0,NO
2026-08-22 20:45:06,37.2,23.5,726,6.38,85.0,NO
2026-08-22 20:45:07,37.0,23.5,711,6.37,85.0,NO
2026-08-22 20:45:08,36.8,23.4,718,6.38,85.0,NO
2026-08-22 20:45:09,36.5,23.2,730,6.37,85.0,NO
2026-08-22 20:45:10,36.2,23.2,716,6.38,85.0,NO
2026-08-22 20:45:11,36.0,23.1,729,6.38,85.0,NO
2026-08-22 20:45:12,35.8,23.2,734,6.37,85.0,NO
2026-08-22 20:45:13,35.5,23.2,724,6.37,85.0,NO
2026-08-22 20:45:14,35.2,23.1,710,6.39,85.0,NO
2026-08-22 20:45:15,35.0,23.3,699,6.41,85.0,SI
2026-08-22 20:45:16,36.2,23.1,704,6.42,84.4,SI
2026-08-22 20:45:17,37.4,23.0,691,6.42,83.8,SI
2026-08-22 20:45:18,38.6,23.0,681,6.4,83.2,SI
2026-08-22 20:45:19,39.8,23.0,680,6.39,82.6,SI
2026-08-22 20:45:29,47.2,23.0,660,6.4,85.0,NO
2026-08-22 20:45:30,47.0,23.1,646,6.39,85.0,NO
2026-08-22 20:45:31,46.8,23.1,631,6.4,85.0,NO
2026-08-22 20:45:32,46.5,23.0,620,6.38,85.0,NO
2026-08-22 20:45:33,46.2,22.8,611,6.4,85.0,NO
2026-08-22 20:45:34,46.0,23.0,603,6.42,85.0,NO
2026-08-22 20:45:35,45.8,22.8,609,6.43,85.0,NO
2026-08-22 20:45:36,45.5,22.6,614,6.42,85.0,NO
2026-08-22 20:45:37,45.2,22.6,600,6.42,85.0,NO
2026-08-22 20:45:38,45.0,22.7,586,6.44,85.0,NO
2026-08-22 20:45:39,44.8,22.9,598,6.43,85.0,NO
2026-08-22 20:45:40,44.5,22.9,600,6.44,85.0,NO
2026-08-22 20:45:41,44.2,22.9,591,6.44,85.0,NO
2026-08-22 20:45:42,44.0,22.9,597,6.45,85.0,NO
2026-08-22 20:45:43,43.8,22.9,603,6.46,85.0,NO
2026-08-22 20:45:44,43.5,22.9,604,6.48,85.0,NO
2026-08-22 20:45:45,43.2,22.8,593,6.48,85.0,NO
2026-08-22 20:45:46,43.0,22.8,579,6.47,85.0,NO
2026-08-22 20:45:47,42.8,22.9,564,6.46,85.0,NO
2026-08-22 20:45:48,42.5,22.7,553,6.48,85.0,NO
2026-08-22 20:45:49,42.2,22.7,567,6.46,85.0,NO
2026-08-22 20:45:50,42.0,22.6,564,6.46,85.0,NO
2026-08-22 20:45:51,41.8,22.6,566,6.46,85.0,NO
2026-08-22 20:45:52,41.5,22.6,577,6.46,85.0,NO
2026-08-22 20:45:53,41.2,22.8,564,6.46,85.0,NO
2026-08-22 20:45:54,41.0,22.7,566,6.46,85.0,NO
2026-08-22 20:45:55,40.8,22.9,571,6.45,85.0,NO
2026-08-22 20:45:56,40.5,22.8,556,6.45,85.0,NO
2026-08-22 20:45:57,40.2,22.6,545,6.43,85.0,NO
2026-08-22 20:45:58,40.0,22.5,555,6.43,85.0,NO
2026-08-22 20:45:59,39.8,22.5,552,6.43,85.0,NO
2026-08-22 20:46:00,39.5,22.6,544,6.43,85.0,NO
2026-08-22 20:46:01,39.2,22.5,541,6.43,85.0,NO
2026-08-22 20:46:02,39.0,22.4,549,6.43,85.0,NO
2026-08-22 20:46:03,38.8,22.4,546,6.42,85.0,NO
2026-08-22 20:46:04,38.5,22.3,555,6.41,85.0,NO
2026-08-22 20:46:05,38.2,22.4,552,6.41,85.0,NO
2026-08-22 20:46:06,38.0,22.5,541,6.41,85.0,NO
2026-08-22 20:46:07,37.8,22.4,537,6.41,85.0,NO
2026-08-22 20:46:08,37.5,22.5,522,6.41,85.0,NO
2026-08-22 20:46:09,37.2,22.5,537,6.42,85.0,NO
2026-08-22 20:46:10,37.0,22.4,536,6.42,85.0,NO
2026-08-22 20:46:11,36.8,22.4,531,6.42,85.0,NO
2026-08-22 20:46:12,36.5,22.5,522,6.43,85.0,NO
2026-08-22 20:46:13,36.2,22.5,533,6.43,85.0,NO
2026-08-22 20:46:14,36.0,22.4,522,6.42,85.0,NO
2026-08-22 20:46:15,35.8,22.4,522,6.43,85.0,NO
2026-08-22 20:46:16,35.5,22.5,534,6.45,85.0,NO
2026-08-22 20:46:17,35.2,22.5,526,6.45,85.0,NO
2026-08-22 20:46:18,35.0,22.5,513,6.44,85.0,SI
2026-08-22 20:46:19,36.2,22.4,505,6.44,84.4,SI
2026-08-22 20:46:20,37.4,22.4,501,6.43,83.8,SI
2026-08-22 20:46:21,38.6,22.5,513,6.42,83.2,SI
2026-08-22 20:46:22,39.8,22.5,505,6.42,82.6,SI
2026-08-22 20:46:23,41.0,22.6,499,6.43,82.0,SI
2026-08-22 20:46:24,42.2,22.5,500,6.44,81.4,SI
2026-08-22 20:46:25,43.4,22.5,492,6.45,80.8,SI
2026-08-22 20:46:26,44.6,22.4,504,6.45,80.2,SI
2026-08-22 20:46:27,45.8,22.2,499,6.44,79.6,SI
2026-08-22 20:46:28,47.0,22.4,504,6.44,79.0,SI
2026-08-22 20:46:29,48.2,22.2,514,6.46,78.4,SI
2026-08-22 20:46:30,49.4,22.0,517,6.46,77.8,SI
2026-08-22 20:46:31,50.6,22.0,512,6.44,77.2,SI
2026-08-22 20:46:32,51.8,22.1,527,6.43,76.6,SI
2026-08-22 20:46:33,53.0,22.0,514,6.41,76.0,SI
2026-08-22 20:46:34,54.2,22.1,501,6.41,75.4,SI
2026-08-22 20:46:35,55.4,22.1,492,6.42,74.8,SI
2026-08-22 20:46:36,56.6,22.1,486,6.41,74.2,SI
2026-08-22 20:46:37,57.8,22.0,475,6.42,73.6,SI
2026-08-22 20:46:38,59.0,21.8,489,6.43,73.0,SI
2026-08-22 20:46:39,60.2,21.8,475,6.44,72.4,NO
2026-08-22 20:46:40,60.0,21.9,477,6.43,72.4,NO
2026-08-22 20:46:41,59.7,21.8,476,6.45,72.4,NO
2026-08-22 20:46:42,59.5,21.8,468,6.46,72.4,NO
2026-08-22 20:46:43,59.2,21.8,464,6.48,72.4,NO
2026-08-22 20:46:44,59.0,21.7,465,6.49,72.4,NO
2026-08-22 20:46:45,58.7,21.7,466,6.49,72.4,NO
2026-08-22 20:46:46,58.5,21.8,464,6.49,72.4,NO
2026-08-22 20:46:47,58.2,21.8,466,6.5,72.4,NO
2026-08-22 20:46:48,58.0,21.9,471,6.5,72.4,NO
2026-08-22 20:46:49,57.7,21.7,463,6.51,72.4,NO
2026-08-22 20:46:50,57.5,21.8,469,6.51,72.4,NO
2026-08-22 20:46:51,57.2,21.7,466,6.5,72.4,NO
2026-08-22 20:46:52,57.0,21.6,453,6.51,72.4,NO
2026-08-22 20:46:53,56.7,21.7,465,6.5,72.4,NO
2026-08-22 20:46:54,56.5,21.8,455,6.51,72.4,NO
2026-08-22 20:46:55,56.2,21.8,461,6.5,72.4,NO
2026-08-22 20:46:56,56.0,21.8,447,6.51,72.4,NO
2026-08-22 20:46:57,55.7,21.9,455,6.51,72.4,NO
2026-08-22 20:46:58,55.5,21.9,445,6.53,72.4,NO
2026-08-22 20:46:59,55.2,22.0,440,6.53,72.4,NO
2026-08-22 20:47:00,55.0,22.0,444,6.51,72.4,NO
2026-08-22 20:47:01,54.7,22.0,445,6.51,72.4,NO
2026-08-22 20:47:02,54.5,22.0,432,6.53,72.4,NO
2026-08-22 20:47:03,54.2,22.1,446,6.54,72.4,NO
2026-08-22 20:47:04,54.0,21.9,451,6.56,72.4,NO
2026-08-22 20:47:05,53.7,21.8,461,6.58,72.4,NO
2026-08-22 20:47:06,53.5,21.7,456,6.59,72.4,NO
2026-08-22 20:47:07,53.2,21.8,468,6.59,72.4,NO
2026-08-22 20:47:08,53.0,21.8,467,6.59,72.4,NO
2026-08-22 20:47:09,52.7,21.7,464,6.57,72.4,NO
2026-08-22 20:47:10,52.5,21.6,452,6.59,72.4,NO
2026-08-22 20:47:11,52.2,21.6,449,6.57,72.4,NO
2026-08-22 20:47:12,52.0,21.6,453,6.57,72.4,NO
2026-08-22 20:47:13,51.7,21.6,451,6.59,72.4,NO
2026-08-22 20:47:14,51.5,21.8,443,6.59,72.4,NO
2026-08-22 20:47:15,51.2,21.9,454,6.61,72.4,NO
2026-08-22 20:47:16,51.0,21.7,469,6.61,72.4,NO
2026-08-22 20:47:17,50.7,21.6,456,6.6,72.4,NO
2026-08-22 20:47:18,50.5,21.4,444,6.6,72.4,NO
2026-08-22 20:47:19,50.2,21.6,445,6.6,72.4,NO
2026-08-22 20:47:20,50.0,21.7,440,6.58,72.4,NO
2026-08-22 20:47:21,49.7,21.6,436,6.6,72.4,NO
2026-08-22 20:47:22,49.5,21.6,445,6.62,72.4,NO
2026-08-22 20:47:23,49.2,21.6,457,6.63,72.4,NO
2026-08-22 20:47:24,49.0,21.7,469,6.63,72.4,NO
2026-08-22 20:47:25,48.7,21.7,466,6.61,72.4,NO
2026-08-22 20:47:26,48.5,21.7,452,6.62,72.4,NO
2026-08-22 20:47:27,48.2,21.8,458,6.61,72.4,NO
2026-08-22 20:47:28,48.0,21.7,460,6.59,72.4,NO
2026-08-22 20:47:29,47.7,21.8,455,6.58,72.4,NO
2026-08-22 20:47:30,47.5,21.8,465,6.59,72.4,NO
2026-08-22 20:47:31,47.2,21.8,471,6.59,72.4,NO
2026-08-22 20:47:32,47.0,21.8,467,6.58,72.4,NO
2026-08-22 20:47:33,46.7,21.7,463,6.58,72.4,NO
